id_respuesta,Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Cuál es su título en la empresa?,¿Se considera usted fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingeniería?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,¿En qué otros lenguajes de programación ocupa su tiempo laboral?,Tipo de relación laboral,Su modo de trabajo es: (ignorando el cambio por covid-19),Usted prefiere:,¿Tiene titulo universitario o técnico?,¿Estudió alguna carrera de PRE-grado relacionada a ingeniería de sistemas?,¿Estudió alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿Ha estudiado en algún bootcamp de programación?,"¿Si ha estudiado en un bootcamp de programación, en cuál? (ingrese el url del bootcamp)",¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,"¿Usando la moneda de la respuesta anterior, cuánto es su remuneración ANUAL base?  eg 36,000,000 si es pesos o 3,600 si es dólares",¿Cuánto es su remuneración ANUAL adicional (usando la moneda que respondio anteriormente)?,¿Cuánto era la remuneración base ANUAL de su trabajo/rol anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,¿Tiene acciones (opciones/stock options/rsus) o dividendos de su empresa como parte de su compensación?,"¿Si tiene acciones, cuántas tiene en total?","¿Si tiene acciones, cuál es el precio de emisión por acción en USD? (use $3,750 como tasa de cambio si es necesario)",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿En qué sitio web busca oportunidades laborales principalmente?,¿En que ciudad de Colombia vive?,¿Cuál es su país de procedencia?,¿En qué año nació?,¿Cuantos hijos tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantas horas trabaja por semana?,titulo_en_empresa_v2,tipo_relacion_laboral_v2,url_bootcamp_v2,precio_emision_accion_v2,acciones_total_v2,ingresos_freelance_ultimo_anio_v2,sitio_buscar_trabajo_v2,ciudad_v2,pais_v2,anio_nacimiento_v2,horas_trabajo_semana_v2,remuneracion_anual_v2,remuneracion_mensual_usd
29,6/17/2020 18:12:04,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,NULL,no,30 - 40%,60 - 70%,90 - 100%,90 - 100%,1+ año,10 - 15 años,JavaScript,"JavaScript, PHP",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,70000,0,51000,mi empleador,mi empleador,no,0,0,no,0,si,http://linkedin.com,cali,Colombia,1979,1,él (tradicionalmente se identifica como hombre),no,NULL,Developer,término indefinido,NULL,[0-10],[0-1000],[0-1000],LinkedIn.com,Cali,Colombia,[41-45],NULL,70000,5833
30,6/17/2020 18:25:08,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Backend Developer,no,90 - 100%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,1+ año,Ruby,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,técnico,no,no,no,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,36,3600000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Medellín,Colombia,2000,0,él (tradicionalmente se identifica como hombre),no,NULL,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[=<20],NULL,0,0
31,6/17/2020 18:51:41,empresa Colombiana con mercado Colombiano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",1,Coordinador Técnico,no,50 - 60%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,JavaScript,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,12000000,1000000,15000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,https://www.perfiltic.com/,Armenia,Colombia,1987,0,él (tradicionalmente se identifica como hombre),no,NULL,Coordinador Técnico,término indefinido,NULL,NULL,NULL,[0-1000],https://www.perfiltic.com/,Armenia,Colombia,[31-35],NULL,3200,266
32,6/17/2020 18:52:22,soy independiente (freelance),soy independiente,soy independiente,Independiente,no,90 - 100%,30 - 40%,30 - 40%,30 - 40%,5 - 10 años,10 - 15 años,PHP,"C, C++, Java, JavaScript, Python, TypeScript",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,si,si,maestria,Sí,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,44000000,5000000,40000000,yo,yo,no,NULL,NULL,soy independiente,250000000,si,https://www.indeed.com,Armenia,Colombia,1980,0,él (tradicionalmente se identifica como hombre),Afrocolombiano o Afrodescendiente,NULL,Independiente,Contratista,NULL,NULL,NULL,[10k-100k],Indeed.com,Armenia,Colombia,[36-40],NULL,11733,977
33,6/17/2020 18:55:51,empresa Colombiana con mercado Colombiano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Full stack,no,70 - 80%,10 - 20%,0 - 10%,0 - 10%,2+ años,2+ años,JavaScript,PHP,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,36000000,1000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Armenia,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,NULL,FullStack Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Armenia,Colombia,[21-25],NULL,9600,800
34,6/17/2020 19:02:36,empresa Colombiana con mercado EEUU,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Front end developer,no,90 - 100%,no tengo responsabilidades de este tipo,70 - 80%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,JavaScript,"JavaScript, PHP, PowerShell, TypeScript",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,ningúno,no,no,no,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,48,0,3500,mi empleador,mi empleador,no,NULL,NULL,si,3,si,http://linkedin.com,Armenia,Colombia,1993,1,él (tradicionalmente se identifica como hombre),Indígena,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Armenia,Colombia,[26-30],NULL,0,0
35,6/17/2020 19:12:38,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,Frontend Developer,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,JavaScript,TypeScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,74400000,7700000,60000000,mi empleador,mi empleador,no,NULL,NULL,si,0,no,https://colombia-dev.slack.com,Sabaneta,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],Colombia-dev.slack.com,Sabaneta,Colombia,[21-25],NULL,19840,1653
36,6/17/2020 19:18:29,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Engineer 2,no,90 - 100%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Java,"JavaScript, PHP",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,34776000,0,24200000,mi empleador,mi empleador,no,NULL,NULL,si,1600000,no,http://linkedin.com,Pereira,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer 2,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Pereira,Colombia,[26-30],NULL,9273,772
37,6/17/2020 19:24:26,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,más de 10,Atlanta,no,50 - 60%,30 - 40%,20 - 30%,10 - 20%,3 - 5 años,3 - 5 años,TSQL,"C#, JavaScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,38,0,29,mi empleador,mi empleador,no,NULL,NULL,no,0,no,https://ticjob.co/en/search,Armenia,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,NULL,Atlanta,término indefinido,NULL,NULL,NULL,[0-1000],https://ticjob.co/en/search,Armenia,Colombia,[26-30],NULL,0,0
38,6/17/2020 19:25:31,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Backend Engineer,no,80 - 90%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,Go,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,102000000,0,60000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://www.google.com/url?q=http://linkedin.com&sa=D&ust=1592439752759000&usg=AFQjCNFAqDiA-sbcry6qs-4tTRNWMsWg4A,bogota,Colombia,1997,0,él (tradicionalmente se identifica como hombre),no,NULL,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[21-25],NULL,27200,2266
39,6/17/2020 19:26:49,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Front end,no,80 - 90%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,menos de 1 año,Python,C,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,12000000,12000000,10000000,mi empleador,mi empleador,si - rsus,NULL,NULL,no,0,si,https://www.facebook.com,Cali,Colombia,1984,1,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,término fijo,NULL,NULL,NULL,[0-1000],facebook.com,Cali,Colombia,[36-40],NULL,3200,266
40,6/17/2020 19:34:48,empresa Colombiana con mercado global,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Ingeniero de sistemas,no,70 - 80%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,Java,"ninguno,  por que soy manager ?",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,54000000,10150000,0,mi empleador,yo,no,NULL,NULL,no,0,si,NULL,Medellin,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[26-30],NULL,14400,1200
41,6/17/2020 19:35:54,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",menos de 1,Ing. De sistemas,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,PHP,"Dart, JavaScript, PHP, Python, Shell",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,técnico,si,no,si,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,26000000,0,14200000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,https://computrabajo.com,Armenia,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,NULL,Ing. De sistemas,término fijo,NULL,NULL,NULL,[0-1000],Computrabajo.com,Armenia,Colombia,[21-25],NULL,6933,577
42,6/17/2020 20:01:17,empresa extranjera,otro,5 - 10,Web Developer,no,40 - 50%,20 - 30%,10 - 20%,20 - 30%,menos de 1 año,10 - 15 años,JavaScript,TypeScript,contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,si,si,maestria,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,78000,78000,78500,yo,yo,si - stock options,NULL,NULL,no,40000,si,https://arc.dev/,Neiva,Colombia,1989,0,él (tradicionalmente se identifica como hombre),no,NULL,Web Developer,Contratista,NULL,NULL,NULL,[10k-100k],https://arc.dev/,Neiva,Colombia,[31-35],NULL,78000,6500
43,6/17/2020 20:03:18,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Specialist,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,PLSQL,"C#, Java",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,75600000,0,62400000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Santa Rosa de Cabal,Colombia,1987,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Specialist,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Santa Rosa de Cabal,Colombia,[31-35],NULL,20160,1680
44,6/17/2020 20:08:27,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,desarrollador fullstack,no,90 - 100%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,10 - 15 años,PHP,JavaScript,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,43000000,0,27000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://computrabajo.com.co,Armenia,Colombia,1983,0,él (tradicionalmente se identifica como hombre),no,NULL,FullStack Developer,término fijo,NULL,NULL,NULL,[0-1000],Computrabajo.com,Armenia,Colombia,[36-40],NULL,11466,955
45,6/17/2020 20:20:06,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Ingeniero de software,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,JavaScript,Kotlin,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,72000000,6000000,48000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[21-25],NULL,19200,1600
46,6/17/2020 20:29:50,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,más de 10,Front-end engineer,no,70 - 80%,20 - 30%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,TypeScript,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,45600000,0,0,mi empleador,yo,no,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1998,0,ella (tradicionalmente se identifica como mujer),no,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[21-25],NULL,12160,1013
47,6/17/2020 20:49:59,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,fullstack developer,no,90 - 100%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,JavaScript,Go,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,50000000,28000000,50000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Armenia,Colombia,1980,2,él (tradicionalmente se identifica como hombre),no,NULL,FullStack Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Armenia,Colombia,[36-40],NULL,13333,1111
48,6/17/2020 21:14:42,empresa Colombiana con mercado latinoamericano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,[redactado],no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,1+ año,Ruby,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,no,pregrado,Sí,https://makeitreal.camp/,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,30000000,0,30000000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Bogotá,Colombia,1989,0,él (tradicionalmente se identifica como hombre),no,NULL,Developer,término indefinido,makeitreal.camp,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],NULL,8000,666
49,6/17/2020 21:23:59,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Lider de tecnología,si,60 - 70%,no tengo responsabilidades de este tipo,10 - 20%,0 - 10%,NULL,5 - 10 años,TypeScript,"Java, JavaScript, Kotlin, Python, Scala, Swift, TypeScript, PgPLSQL",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,132000000,15000000,38000000,mi empleador,mi empleador,si - stock options,0,0,si,3750000,no,NULL,Bogotá,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,NULL,Lider de tecnología,término indefinido,NULL,[0-10],[0-1000],[1k-10k],NULL,Bogotá,Colombia,[26-30],NULL,35200,2933
50,6/17/2020 21:28:52,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",1,Technical Lead,no,40 - 50%,10 - 20%,30 - 40%,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,JavaScript,"Go, PHP",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,no,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),dólares,47000,4000,32000,yo,yo,si - stock options,250000,0.025,si,3000,no,https://colombia-dev.slack.com/,Medellín,Colombia,1984,0,él (tradicionalmente se identifica como hombre),no,NULL,Lead,Contratista,NULL,[0-10],[>100k],[1k-10k],Colombia-dev.slack.com,Medellín,Colombia,[36-40],NULL,47000,3916
51,6/17/2020 21:40:59,empresa Colombiana con mercado EEUU,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,[redactado],no,30 - 40%,20 - 30%,40 - 50%,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,Python,C++,contratista internacional,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo en oficina,ningúno,no,no,si,bachiller,No,NULL,nativo,dólares,45600,60000,1000,yo,yo,si - stock options,3000,1,si,12000,si,https://www.LinkedIn.com,Bogota,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,NULL,Developer,Contratista,NULL,[0-10],[1k-10k],[10k-100k],LinkedIn.com,Bogotá,Colombia,[26-30],NULL,45600,3800
52,6/17/2020 21:47:55,empresa Colombiana con mercado Colombiano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Desarrollador backend,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,Python,"Go, PHP, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,36000000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Bogotá,Colombia,1996,0,ella (tradicionalmente se identifica como mujer),no,NULL,Backend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[21-25],NULL,9600,800
